CoinName,Algorithm,IsTrading,ProofType,TotalCoinsMined,TotalCoinSupply
Bulwark,NIST5,True,PoS,13247178.880728599,27716121
BoxyCoin,Scrypt,False,PoW,5761512.810349099,100000000
Kalkulus,Quark,True,PoS,16955764.902064003,20000000
AC3,X11,True,PoW,80316207.0,550000000
CHIPS,SHA-256,True,PoW,0.0,21000000
Lethean,CryptoNight-V7,True,PoW,441250233.377,999481516
GermanCoin,Scrypt,True,PoW/PoS,4911500269.41,50000000000
LiteCoin Ultra,Scrypt,True,PoW/PoS,8419402.321,150000000
PopularCoin,Scrypt,True,PoW,3964201248.87125,4999999999
PhantomX,X11,True,PoW/PoS,45174214.1078625,50000000
HomeBlockCoin,X11,False,PoW/PoS,0.0,28000000
HTML Coin,SHA-256,True,PoW/PoS,0.0,90000000000
Photon,BLAKE256,True,PoW,30089671530.5228, 90000000000
Sucre,X11,True,PoW,4229040.50393462,19800000
Accolade,Scrypt,False,PoW/PoS,5573908.0,50000000
Fantasy Cash,Scrypt,True,PoW/PoS,0.0,4600000
OmiseGO Classic,Scrypt,False,PoW/PoS,49933217.7511508,70000000
SparksPay,NeoScrypt,True,PoW,7847417.33355824,21000000
GoaCoin,NeoScrypt,False,PoW,3982139.24553469,32000000
Digiwage,Quark,True,PoS,27299680.0,120000000
GunCoin,NeoScrypt,True,PoW,299797953.0,500000000
IrishCoin,Scrypt,True,PoW,45483049.3398182,64000000
Trollcoin,Scrypt,True,PoW/PoS,591022748.0,900000000
Litecoin Plus,Scrypt,True,PoW/PoS,2504486.227718,4000000
Monkey Project,X11,True,PoS,4407252.0,21000000
ECC,Scrypt,False,PoS,25000000000.0,25000000000
Pioneer Coin,X11,True,PoW,8478104.33969947,23000000
UnitedBitcoin,SHA-256,True,PoW,20166000.0,20166000
Interzone,C11,True,PoW,11916588.09471,23000000
Sigil,NeoScrypt,False,PoW,0.0,50000000
OP Coin,Scrypt,True,PoW/PoS,0.0,2000000000
Valorbit,Scrypt,True,PoW/PoS,0.0,92233720000000000
TokenPay,POS 3.0,True,PoS,20445861.534425102,25000000
1717 Masonic Commemorative Token,Ethash,True,PoS,1618033.0,1618033
Crypto Wisdom Coin,Scrypt,False,PoW,17630550.2128923,24000000
My Big Coin,Scrypt,True,PoW and PoS,9399342.52839847,30000000
TurtleCoin,CryptoNight,True,PoW,53139835213.77,1000000000000
MUNcoin,SkunkHash,True,PoW,4818338.98949984,16600000
Unified Society USDEX,Scrypt,True,PoW/PoS,234846265.78215697,232000000
Niobio Cash,CryptoNight,True,PoW,133932467.77410801,336000000
BitSoar Coin,X11,False,PoS,3680297312.25584,3980000000
Bitcoin Private,Equihash,True,PoW,0.0,21000000
Skeincoin,Skein,True,PoW,0.0,17000000
ShareChain,Scrypt,True,PoW,10000000000.0,10000000000
Credence Coin,SHA-256,False,PoW/PoS,3427006.0,25000000
Travelflex,Dagger,True,PoW,107325266.02778299,100000000
KREDS,Lyra2REv2,True,PoW,643795911.540095,1100000000
Tokyo Coin,X13,True,PoS,230298925.0,800000000
BiblePay,Proof-of-BibleHash,True,POBh,1772091549.88818,5200000000
LitecoinCash,SHA-256 + Hive,True,PoW + Hive,638382332.208514,840000000
BitFlip,Scrypt,True,PoW,12446100.00278,40000000
LottoCoin,Scrypt,True,PoW,14491014421.0,18406979840
LeafCoin,Scrypt,True,PoW,0.0,21000000000
BashCoin,Skein,False,PoW/PoS,11661844.4720073,72000000
DigiMoney,X11,False,PoW/PoS,3521630.0,25000000
Cerberus,NeoScrypt,True,PoW,0.0,31500000
Bitcoin Hush,Equihash,True,PoW,0.0,21000000
Lizus Payment,Skein,False,PoW/PoS,2985970.9999482003,69000000
Crypto Improvement Fund,X11,True,PoW,211297638.500483,500000000
Stipend,C11,True,PoW/PoS,11251342.1879021,19340594
Poa Network,Proof-of-Authority,True,PoA,204479039.0,252460800
Pushi,X11,True,PoW/PoS,2167827.1,25000000
PokerCoin,Scrypt,False,PoS/PoW,0.0,466666667
Ellerium,XEVAN,True,PoW/PoS,419275.38,60000000
Velox,Scrypt,True,PoS,25570013.1348022,124000000
Ontology,VBFT,True,PoS,650848625.0,1000000000
Callisto Network,Ethash,True,PoW,247612453.0,6500000000
Curium,X11,True,PoW,0.0,22000000
BitTube,CryptoNight,True,PoW,80049082.9057215,1000000000
Dinero,NeoScrypt,True,PoW,0.0,100000000
Poseidon,Scrypt,True,PoW,4070212.1493015997,21000000
Manna,SHA-256,False,PoW,2360478328.70966,10044655075.56243680
Aidos Kuneen,IMesh,True,PoW,25000000.0,25000000
Seraph,PHI1612,False,PoW/PoS,1360250.0,32000000
Cosmo,Quark,False,PoW,8928876.68577239,11892000
Reden,X16S,False,PoW,0.0,14000000
Bitspace,NIST5,True,PoW/PoS,13787854.6277781,50000000
Snowgem,Equihash,True,PoW,0.0,84096000
Briacoin,Scrypt,True,PoW/PoS,845637.81347436,3000000
Ignition,Scrypt,True,PoW/PoS,1182153.5,5000000
Bitrolium,Equihash,True,PoW,71355477.0,70000000
Bitcoin Interest,Equihash,True,PoW,0.0,22300000
MedicCoin,Scrypt,True,PoS,267297676.3125,500000000
FOLM coin,PHI1612,False,PoW,0.0,23001916
Alpenschillling,Lyra2Z,True,PoW,27340501.6514783,300000000
Zelcash,Equihash,True,PoW/PoS,0.0,210000000
Bitcoin Green,Green Protocol,True,PoS,9803691.3618195,21000000
Deviant Coin,PoS,True,PoS,21876586.8530324,88000000
Abjcoin,Scrypt,True,PoW/PoS,9880502.37178894,30000000
Rapture,NeoScrypt,False,PoW,4478901.29233779,21000000
Profit Hunters Coin,Scrypt,True,PoW/PoS,0.0,100000000
Semux,Semux BFT consensus,True,DPoS,1231147.0,100000000
BitBlocks,Scrypt,True,PoW/PoS,0.0,500000000
Uwezocoin,Scrypt,False,PoW,0.0,840000000
FuturoCoin,X11,True,PoW,31801461.1867843,100000000
Carebit,Quark,True,PoW/PoS,139739596.506702,200000000
Zealium,PoS,True,PoS,11075254.0929996,80000000
Monero Classic,CryptoNight,True,PoW,16016864.0,18400000
Proton,X16R,True,PoS,4403800.0,45000000
iDealCash,Scrypt,True,PoW/PoS,1404157529.46026,5121951220
Jumpcoin,NIST5,True,PoW,21069346.252259802,21000000
Infinex,Lyra2RE,True,PoW,5097689.71077377,26280000
Bitcoin Incognito,XEVAN,True,PoS/PoW,10904963.0923455,21000000
KEYCO,Tribus,True,PoW,795447.0,18000000
HollyWoodCoin,Scrypt,True,PoS,38706809.466534995,26000000
GINcoin,Lyra2Z,True,PoW,6986399.70430446,10500000
Parlay,Scrypt,False,PoS,3783270.0,30000000
Listerclassic Coin,Scrypt,False,PoW/PoS,8094818.38874615,110000000
PlatinCoin,CryptoNight,True,PoW,84300.0,600000518
BetKings,X11,False,PoS,11359634.6460345,8148139
Cognitio,SHA-256D,False,PoW/PoS,658584.46163633,7500000
Loki,CryptoNight Heavy,True,PoW,19153632.0,150000000
Newton Coin,CryptoNight,True,PoW,41294520017.0,184000000000
Mercoin,Scrypt,False,PoW/PoS,25330252.323000003,100000000
Swisscoin,Scrypt,True,PoW/PoS,10200000000.0,10200000000
ExchangeCoin,Equihash,False,PoW,0.0,32000000
Reliance,X11,False,PoS,7256580.0,62000000
Xt3ch,Scrypt,True,PoS,7630000.0154,44000000
MassGrid,Jump Consistent Hash,True,PoW,135862416.039898,168000000
TheVig,SHA-256D,True,PoW/PoS,33238183.7225834,100000000
PluraCoin,CryptoNight,True,PoW,560085952.404637,1000000000
EmaratCoin,Scrypt,True,PoW/PoS,21599339.6728,84000000
Dekado,X15,True,PoS,30284196.369129,90000000
Lynx,Scrypt,True,HPoW,77872059787.8998,92000000000
Poseidon Quark,Quark,True,PoS,2716264.95302831,650000000 
MYCE,Scrypt,False,PoW/PoS,63613903.880998,250000000
Arionum,SHA-512,False,PoW,60045900.0,545399000
BitcoinWSpectrum,SHA-256,True,PoS,57811001.000889,100262205
GolfCoin,SHA-256D,False,PoW/PoS,0.0,1713134800
Muse,DPoS,True,PoS,18194936.0,18081806 
Motion,X16R,True,PoW,8125865.02097646,22075700
PlusOneCoin,HMQ1725,True,PoW,8645406.16776286,21000000
Axe,X11,True,PoW,4993030.69736615,21000000
GambleCoin,Scrypt,False,PoS,8240763.49472804,15600000
Trivechain,X16R,True,PoW/PoS,36923120.6205934,82546564
Dystem,Quark,True,PoS,7082392.24744494,21000000
Giant,Quark,True,PoW/PoS,5919489.76813523,5151000
Peony Coin,Scrypt,True,PoS,1042012.45227735,16880000000
SafeCoin,Zhash,True,PoW/PoS,0.0,36000000
Absolute Coin,Lyra2REv2,True,PoW/PoS,13332617.9413708,52500000
Vitae,Quark,True,PoS,66053877.6256106,100000000
GenesisX,XEVAN,False,PoS,0.0,19000000
BitminerCoin,CryptoNight,False,PoW,0.0,50000000
HexCoin,Scrypt,True,PoW,1416663.06600024,22105263
Deimos,Scrypt,False,PoW,269143950.637501,1000000000
TPCash,Scrypt,True,PoW/PoS,5403802.49590733,1000000000
Webchain,CryptoNight-V7,True,PoW,15580199.3087496,1750000000
Ryo,Cryptonight-GPU,True,PoW,4890897.0,88188888
MUSDcoin,Scrypt,True,PoW/PoS,0.0,100000000
Urals Coin,XEVAN,True,PoW,14746153.0962884,210000000
Qwertycoin,CryptoNight Heavy,True,PoW,99553110528.8022,184470000000
Bitcoin Nova,CryptoNight,False,PoW,484454200.0,1000000000
ARENON,X11,True,PoS,19269509.94,55000000
DACash,X11,False,PoW,26709236.7607446,50000000
EUNO,X11,True,PoW/PoS,30771125.976086702,50000000
MMOCoin,Scrypt,True,PoS,107763867.917675,260000000
Ketan,PoS,True,PoS,9327131.59708692,210000000
NIX,Lyra2REv2,True,PoW,0.0,175000000
Safe Trade Coin,Scrypt,True,PoS,0.0,840000000
Project Pai,SHA-256,True,PoW,2100000000.0,2100000000
Mont Blanc,Scrypt,True,PoS,0.0,70000000
XDNA,Keccak,True,PoW/PoS,4672513.84432375,366000000
PAXEX,X11,True,PoS,4504639.0,100000000
Azart,X11,True,PoW,5015881.37315389,25000000
Averopay,Tribus,False,PoW/PoS,1859475.60962,36500000
Apollon,Quark,True,PoW/PoS,0.0,250000000
ThunderStake,Scrypt,True,PoW/PoS,1059954080.4343901,18000000000
SimpleBank,NeoScrypt,False,PoW/PoS,2381470.97805063,21000000
Kcash,SHA-512,True,Zero-Knowledge Proof,1000000000.0,1000000000
Xchange,X16R,True,PoW,9753753.61515394,100000000
Acute Angle Cloud,ECC 256K1,True,DPOS,1000000000.0,1000000000
Traid,NeoScrypt,True,PoW/PoS,0.0,252000000
CrypticCoin,Equihash,True,PoW,4235111504.0,7600000000
Bettex coin,XEVAN,True,PoS,6787405.18013774,50000000
ZestCoin,Quark,True,PoW,0.0,29300000
X-CASH,CryptoNight Heavy X,True,PoW,0.0,100000000000
Brazio,HMQ1725,False,PoW,75579791.70522141,207000000
Actinium,Lyra2Z,True,PoW,13634850.0,84000000
ETHER-1,Ethash,True,PoW,0.0,13666237
TWIST,SHA-512,False,PoS,200000000.0,200000000
Bitcoin SV,SHA-256,True,PoW,17992514.6469233,21000000
DACH Coin,Quark,False,PoS,14303114.6740944,38000000
Argoneum,PHI1612,False,PoW,13969583.3757376,64000000
BitMoney,XEVAN,True,Pos,208515864.36734298,70000000000
Bitcoiin2Gen,Ethash,True,PoW,0.0,100000000
Junson Ming Chan Coin,X11,True,PoS,17209923728.3266,0
FREDEnergy,CryptoNight,True,PoW,1867054873.2839699,8080000000
Zenad,Quark,True,POS / MN,0.0,46000000
C25 Coin,SkunkHash,True,PoW,0.0,6100000
HerbCoin,Quark,True,PoW/PoS,35312185.7437239,54000000
Aquachain,Argon2,True,PoW,0.0,42000000
BlakeBitcoin,Blake,False,PoW,20595483.8480416,21000000
Universal Molecule,Blake,True,PoW,1578281.31341127,105120001.44
Lithium,Blake,True,PoW,15846721.248274697,25228800
Electron,Blake,False,PoW,24156921.986802302,7000000000
Smart Bitcoin,SHA-256,True,PoW,0.0,20999764
PirateCash,Equihash,True,PoS,13475920.0,105000000
Exosis,Exosis,True,PoW,406091.925,21000000
Block-Logic,Scrypt,True,PoW,35284717.173946,120000000
Oduwa,Scrypt,True,PoW/PoS,14777549.394076401,21000000
Beam,Equihash,True,PoW,35687520.0,262800000
Galilel,Quark,True,PoW/PoS,18265011.248600602,19035999
Bithereum,Equihash,True,PoW,25150787.5,30886000
Crypto Sports,Quark,True,PoS,1934701.67524713,13370000
Credit,Scrypt,True,PoW/PoS,30825710000.0296,74800000000
Scribe Network,Lyra2REv2,False,PoW,6040583.72997153,32700000
SLICE,QuBit,True,PoW,12925790.4226959,100000000
Dash Platinum,X11,True,PoS,715659.44237941,19700000
Nasdacoin,Scrypt,True,PoW/PoS,20546528.2059957,84000000
Vidulum,Equihash1927,True,PoW,0.0,100000000
Beetle Coin,XEVAN,True,PoW/PoS,198938144.363399,500000000
Titan Coin,SHA-256D,True,PoW/PoS,896361168.0,5000000000
Award,X11,True,PoW/PoS,15420234.5389336,420000000
BlockStamp,SHA-256,True,PoW,0.0,105000000
BLAST,SHA-256,True,PoW,52293836.62779579,64000000
Bitcoin Rhodium,X13,True,PoW,1170292.5,2100000
GlobalToken,SHA-256,True,PoW,84613099.9999955,168000000
Insane Coin,X11,True,PoW/PoS,23775960.3207514,30000000
ALAX,DPoS,True,DPoS,1000000000.0,1000000000
The Freedom Coin,X11,True,PoS,0.0,25000000
Media Protocol Token,Ethash,False,PoW,10000000000.0,10000000000
LiteDoge,Scrypt,True,PoW/PoS,15318887081.0146,35000000000
Boolberry,X11,True,PoW,0.0,18450000
SolarCoin,Scrypt,True,PoW,55565076.3863525,98100000000
TruckCoin,X11,True,PoW/PoS,242574105.22384,0
UFO Coin,NeoScrypt,True,PoW,3824685012.0,4000000000
Ascension Coin,QuBit,True,PoW/PoS,0.0,0
OrangeCoin,Scrypt,True,PoW/PoS,3537150.0,200000000
BlakeCoin,Blake,True,PoW,23356790.1494191,7000000000
BitstarCoin,Scrypt,True,PoW/PoS,20576532.0,54256119
NeosCoin,SHA-256,True,PoS,4392258.24647793,21000000
HyperCoin,Scrypt,True,PoW/PoS,9631199.99309942,0
PinkCoin,X11,True,PoW/PoS,436353624.49031204,500000000
FantomCoin ,CryptoNight,True,PoW,0.0,18400000
Crypto Escudo,Scrypt,True,PoW,780210700.0,1000000000
AudioCoin,Scrypt,True,PoW/PoS,980732528.97974,10500000000
IncaKoin,SHA-256,True,PoW/PoS,17939725045.334,190000000
Piggy Coin,X11,True,PoW/PoS,494240666.028571,1000000000
Crown Coin,SHA-256,True,PoW,22986929.0854247,42000000
Genstake,Scrypt,True,PoW/PoS,60000000.0,15000000
Quazar Coin,CryptoNight,True,PoW,0.0,18446744
SmileyCoin,Scrypt,True,PoW,29583989322.9213,50000000000
ParkByte,SHA-256,True,PoW/PoS,0.0,25000000
XiaoMiCoin,Scrypt,True,PoW/PoS,404316475.545465,400000000
Groestlcoin,Groestl,True,PoW,73298203.8873662,105000000
CapriCoin,X11,True,PoW/PoS,201364327.427503,208000000
 ClubCoin,Scrypt,True,PoW/PoS,103621876.167052,160000000
Radium,PoS,True,PoS,3821245.74150193,9000000
Bata,Scrypt,True,PoW,5052555.91981545,5000000
Pakcoin,Scrypt,True,PoW,69684455.4387001,182000000
Creditbit ,X11,True,Proof of Trust,16901016.6609755,16504333
OKCash,SHA-256,True,PoW/PoS,74676064.9488608,105000000
Lisk,DPoS,True,DPoS,120012140.0,159918400
HiCoin,Scrypt,True,PoS,10000244677.7002,10008835635
WhiteCoin,Scrypt,True,PoW/PoS,252005564.19257003,300000000
Dotcoin,Scrypt,True,PoW,0.0,890000000
FriendshipCoin,NeoScrypt,True,PoW/PoS,1120385.00502,60168145
The Hempcoin,Scrypt,True,PoW/PoS,0.0,300000000
Fiii,SHA3-256,True,DPoC,-5917977547.96773,5000000000
JoinCoin,Multiple,True,PoW,3332922.5,2800000
Triangles Coin,X13,True,PoW/PoS,140777.753365,120000
Vollar,Equihash+Scrypt,True,PoW,100000000.0,2100000000
TecraCoin,Lyra2Z,False,PoW,40874452.4756771,210000000
Gexan,PHI2,False,PoW/PoS,2233828.12953048,21000000
EOS,DPoS,True,DPoS,1020544523.0722,0
Reality Clash,Ethash,True,PoW,24487944.095820397,24487944
Oxycoin,DPoS,True,DPoS,1122382283.37,0
iOlite,Ethash,True,PoW,0.0,1000000000
TigerCash,SHA-256,True,PoS,1000000000.0,1000000000
LAPO,Lyra2Z,False,PoW/PoS,11086825523.3769,100000000000
Waves,Leased POS,True,LPoS,100000000.0,100000000
Particl,PoS,True,PoS,9283137.5558676,8634140
ShardCoin,Scrypt,False,PoS,24924986.0946492,900000000
BitTorrent,TRC10,True,DPoS,989988713439.649,990000000000
ChainZilla,Equihash,False,DPoW,11000068.2715789,11000000
Nxt,PoS,True,PoS/LPoS,1000000000.0,1000000000
ZEPHYR,SHA-256,True,DPoS,1999999995.3056,2000000000
Gapcoin,Scrypt,True,PoW/PoS,14931046.1546605,250000000
Beldex,CryptoNight,True,PoW,980222595.0,1400222610
Horizen,Equihash,True,PoW,7296537.5,21000000
BitcoinPlus,Scrypt,True,PoS,128326.99633965,1000000
DivotyCoin,Scrypt,False,PoW/PoS,21491213.4644496,100000000
